x;y;label;;
10;-3.487886597;a;;
15;-3.339261664;a;;
20;-4.542419396;a;;
25;-5.020454022;a;;
30;-4.023334899;a;;
35;-4.521040254;a;;
40;-4.590116978;a;;
45;-5.321189914;a;;
50;-4.934091942;a;;
55;-5.4051621;a;;
60;-5.020864776;a;;
65;-5.195627605;a;;
70;-4.679743516;a;;
75;-5.453742739;a;;
80;-5.314454566;a;;
