x;y;label;;
10;-4.179470211;b;;
15;-5.289309694;b;;
20;-5.887856417;b;;
25;-6.224967077;b;;
30;-6.156823858;b;;
35;-6.840569817;b;;
40;-6.944381423;b;;
45;-7.224058621;b;;
50;-7.382699939;b;;
55;-6.60418353;b;;
60;-7.543506505;b;;
65;-8.032000871;b;;
70;-8.53917677;b;;
75;-8.028788487;b;;
80;-8.296240607;b;;
