x;y;label
6;-0.09856863;a
7;-1.671229622;a
8;-1.671229622;a
9;-1.419246216;a
10;-1.419246216;a
11;-1.453152225;a
12;-1.453152225;a
13;-1.975319014;a
14;-1.975319014;a
15;-1.881196056;a
16;-1.881196056;a
17;-2.128865555;a
18;-2.128865555;a
19;-1.700744051;a
20;-1.700744051;a
6;-1.050775168;b
7;-1.143936497;b
8;-1.221481878;b
9;-1.288010165;b
10;-1.346456724;b
11;-1.39865673;b
12;-1.445893871;b
13;-1.489083517;b
14;-1.528909231;b
15;-1.565893176;b
16;-1.60044431;b
17;-1.632888802;b
18;-1.663491146;b
19;-1.69246882;b
20;-1.720002843;b
6;-1.149115124;c
7;-1.235254297;c
8;-1.343302377;c
9;-1.46772084;c
10;-1.549360698;c
11;-1.629472637;c
12;-1.69446404;c
13;-1.75417455;c
14;-1.807198479;c
15;-1.855936953;c
16;-1.900748106;c
17;-1.942451003;c
18;-1.981456418;c
19;-2.018169969;c
20;-2.052883578;c
6;-1.091830665;d
7;-1.091830665;d
8;-1.152131211;d
9;-1.152131211;d
10;-0.487564616;d
11;-0.487564616;d
12;-1.518780828;d
13;-1.518780828;d
14;-2.248806923;d
15;-2.248806923;d
16;-2.306135891;d
17;-2.306135891;d
18;-2.435324056;d
19;-2.435324056;d
20;-2.798818411;d
6;0.462707621;e
7;0.809298307;e
8;-0.580604031;e
9;0.594385534;e
10;-0.203785018;e
11;-0.736768266;e
12;-1.569873585;e
13;-1.844900428;e
14;-1.03144522;e
15;-1.419464656;e
16;-1.035887601;e
17;-1.092483424;e
18;-0.363817256;e
19;-1.322943943;e
20;-0.013398139;e
6;-0.09856863;f
7;-1.236704807;f
8;-1.671229622;f
9;-0.872801649;f
10;-1.419246216;f
11;-1.737649236;f
12;-1.453152225;f
13;-1.87509583;f
14;-1.975319014;f
15;-2.218040919;f
16;-1.881196056;f
17;-2.067051596;f
18;-2.128865556;f
19;-2.318344906;f
20;-1.700744049;f
