x;y;label
0.01;-2.738910912;c
0.02;-2.701620451;c
0.03;-2.44801449;c
0.04;-1.746557491;c
0.05;-2.355899013;c
0.06;-2.708849417;c
0.07;-2.98704841;c
0.08;-3.209671847;c
0.09;-3.446788541;c
0.1;-3.577935171;c
0.11;-3.528274031;c
0.12;-3.459737542;c
0.13;-3.467190899;c
0.14;-3.350346251;c
0.15;-3.225334921;c
0.16;-3.109327543;c
0.17;-2.971414609;c
0.18;-2.845757701;c
0.19;-2.54040596;c
0.2;-1.684542637;c
0.21;-2.300186281;c
0.22;-2.76798004;c
0.23;-2.847755049;c
0.24;-2.829809581;c
0.25;-2.021002574;c
0.26;-1.893282646;c
0.27;-1.764555374;c
0.28;-2.310491121;c
0.29;-2.8164351;c
0.3;-2.712574051;c
0.31;-2.853956641;c
0.32;-2.312077863;c
0.33;-2.93172661;c
0.34;-2.038163816;c
0.35;-3.022194985;c
0.36;-3.08720042;c
0.37;-3.380809975;c
0.38;-2.973411656;c
0.39;-3.764361386;c
0.4;-3.445605427;c
0.41;-3.31754263;c
0.42;-3.488905608;c
0.43;-3.385104809;c
0.44;-3.440450034;c
0.45;-3.093043209;c
0.46;-3.172965917;c
0.47;-3.384746049;c
0.48;-3.145468907;c
0.49;-2.680338259;c
0.5;-2.752097576;c
0.51;-3.783865761;c
0.52;-2.575896866;c
0.53;-2.965573719;c
0.54;-3.420081563;c
0.55;-3.481299832;c
0.56;-3.436827096;c
0.57;-2.801604344;c
0.58;-3.246158586;c
0.59;-3.424866125;c
0.6;-3.756504652;c
0.61;-3.641644994;c
0.62;-3.785988518;c
0.63;-2.895445607;c
0.64;-3.38066402;c
0.65;-4.133273803;c
0.66;-4.623578715;c
0.67;-4.02072172;c
0.68;-2.675697673;c
0.69;-4.183188762;c
0.7;-3.857486351;c
0.71;-4.500712965;c
0.72;-4.060121086;c
0.73;-4.756407153;c
0.74;-4.732003183;c
0.75;-4.526663741;c
0.76;-4.233883224;c
0.77;-3.982681586;c
0.78;-3.701100063;c
0.79;-4.441056278;c
0.8;-4.808659507;c
0.81;-4.624770949;c
0.82;-4.839935199;c
0.83;-4.421092878;c
0.84;-4.49812614;c
0.85;-4.336287424;c
0.86;-4.172234913;c
0.87;-4.008452898;c
0.88;-3.845868885;c
0.89;-3.684524084;c
0.9;-3.523752567;c
0.91;-3.364288649;c
0.92;-3.205468932;c
0.93;-3.047306112;c
0.94;-2.889647891;c
0.95;-2.732318183;c
0.96;-2.575120278;c
0.97;-2.417831837;c
0.98;-2.260207736;c
0.99;-2.101983392;c
