x;y;label
0;0.3411815;c
1;-0.007116892;c
2;-0.002051065;c
3;-0.000938799;c
4;-0.000513239;c
5;-0.000308907;c
6;-0.000197562;c
7;-0.000131758;c
8;-9.06104E-05;c
9;-6.37912E-05;c
10;-4.57489E-05;c
11;-3.33048E-05;c
12;-2.45474E-05;c
13;-1.82818E-05;c
14;-1.37366E-05;c
15;-1.04005E-05;c
16;-7.92721E-06;c
17;-6.07748E-06;c
18;-4.68355E-06;c
19;-3.62604E-06;c
20;-2.81897E-06;c
21;-2.19974E-06;c
22;-1.72238E-06;c
23;-1.35278E-06;c
24;-1.0655E-06;c
25;-8.41418E-07;c
26;-6.66052E-07;c
27;-5.28404E-07;c
28;-4.20064E-07;c
29;-3.34576E-07;c
30;-2.66961E-07;c
31;-2.13364E-07;c
32;-1.70794E-07;c
33;-1.36918E-07;c
34;-1.09911E-07;c
35;-8.83463E-08;c
36;-7.10992E-08;c
37;-5.72853E-08;c
38;-4.62059E-08;c
39;-3.73079E-08;c
40;-3.01531E-08;c
41;-2.43933E-08;c
42;-1.97513E-08;c
43;-1.60062E-08;c
44;-1.29818E-08;c
45;-1.0537E-08;c
46;-8.55893E-09;c
47;-6.95712E-09;c
48;-5.65893E-09;c
49;-4.60597E-09;c
50;-3.75128E-09;c
51;-3.05701E-09;c
52;-2.49268E-09;c
53;-2.03364E-09;c
54;-1.66003E-09;c
55;-1.35575E-09;c
56;-1.10779E-09;c
57;-9.05616E-10;c
58;-7.4068E-10;c
59;-6.06053E-10;c
60;-4.9611E-10;c
61;-4.0628E-10;c
62;-3.32849E-10;c
63;-2.72797E-10;c
64;-2.23664E-10;c
65;-1.83447E-10;c
66;-1.50515E-10;c
67;-1.23537E-10;c
68;-1.01428E-10;c
69;-8.33036E-11;c
70;-6.84391E-11;c
71;-5.62441E-11;c
72;-4.62359E-11;c
73;-3.80196E-11;c
74;-3.12721E-11;c
75;-2.57292E-11;c
76;-2.11744E-11;c
77;-1.74304E-11;c
78;-1.43521E-11;c
79;-1.18203E-11;c
80;-9.73751E-12;c
81;-8.02357E-12;c
82;-6.61282E-12;c
83;-5.45134E-12;c
84;-4.49483E-12;c
85;-3.70695E-12;c
86;-3.0578E-12;c
87;-2.52284E-12;c
88;-2.08188E-12;c
89;-1.71833E-12;c
90;-1.41854E-12;c
91;-1.17126E-12;c
92;-9.67266E-13;c
93;-7.98941E-13;c
94;-6.60023E-13;c
95;-5.45352E-13;c
96;-4.50679E-13;c
97;-3.72501E-13;c
98;-3.07934E-13;c
99;-2.54598E-13;c
100;-2.10532E-13;c
101;-1.7412E-13;c
102;-1.44026E-13;c
103;-1.19151E-13;c
104;-9.85856E-14;c
105;-8.15812E-14;c
106;-6.75191E-14;c
107;-5.58882E-14;c
108;-4.6267E-14;c
109;-3.8307E-14;c
110;-3.17205E-14;c
111;-2.62697E-14;c
112;-2.17582E-14;c
113;-1.80237E-14;c
114;-1.49319E-14;c
115;-1.23719E-14;c
116;-1.02519E-14;c
117;-8.49619E-15;c
118;-7.04191E-15;c
119;-5.83718E-15;c
120;-4.83907E-15;c
121;-4.01205E-15;c
122;-3.32671E-15;c
123;-2.75872E-15;c
124;-2.28793E-15;c
125;-1.89767E-15;c
126;-1.57413E-15;c
127;-1.30587E-15;c
128;-1.08343E-15;c
129;-8.98964E-16;c
130;-7.45971E-16;c
131;-6.1907E-16;c
132;-5.13802E-16;c
133;-4.26471E-16;c
134;-3.54014E-16;c
135;-2.93891E-16;c
136;-2.44E-16;c
137;-2.02594E-16;c
138;-1.68228E-16;c
139;-1.39703E-16;c
140;-1.16023E-16;c
141;-9.63648E-17;c
142;-8.00432E-17;c
143;-6.6491E-17;c
144;-5.52374E-17;c
145;-4.58918E-17;c
146;-3.813E-17;c
147;-3.16833E-17;c
148;-2.63283E-17;c
149;-2.188E-17;c
150;-1.81844E-17;c
151;-1.5114E-17;c
152;-1.25629E-17;c
153;-1.04431E-17;c
154;-8.68148E-18;c
155;-7.2175E-18;c
156;-6.00077E-18;c
157;-4.98947E-18;c
158;-4.14885E-18;c
159;-3.45007E-18;c
160;-2.86915E-18;c
161;-2.38618E-18;c
162;-1.98463E-18;c
163;-1.65075E-18;c
164;-1.37311E-18;c
165;-1.14223E-18;c
166;-9.50229E-19;c
167;-7.90542E-19;c
168;-6.57727E-19;c
169;-5.47254E-19;c
170;-4.5536E-19;c
171;-3.78917E-19;c
172;-3.15322E-19;c
173;-2.62415E-19;c
174;-2.18395E-19;c
175;-1.81769E-19;c
176;-1.51292E-19;c
177;-1.25932E-19;c
178;-1.04827E-19;c
179;-8.72638E-20;c
180;-7.26465E-20;c
181;-6.04804E-20;c
182;-5.03541E-20;c
183;-4.19252E-20;c
184;-3.49087E-20;c
185;-2.90678E-20;c
186;-2.42053E-20;c
187;-2.0157E-20;c
188;-1.67866E-20;c
189;-1.39803E-20;c
190;-1.16436E-20;c
191;-9.69787E-21;c
192;-8.07763E-21;c
193;-6.72836E-21;c
194;-5.60469E-21;c
195;-4.66887E-21;c
196;-3.88946E-21;c
197;-3.24028E-21;c
198;-2.69956E-21;c
199;-2.24916E-21;c
