x;y;label
0.5;1.042106287;c
0.55;1.041800772;c
0.6;1.041473252;c
0.65;1.041123644;c
0.7;1.040751855;c
0.75;1.040357778;c
0.8;1.039941294;c
0.85;1.039502271;c
0.9;1.039040562;c
0.95;1.038556003;c
1;1.038048416;c
1.05;1.037517603;c
1.1;1.036963347;c
1.15;1.036385409;c
1.2;1.035783527;c
1.25;1.035157412;c
1.3;1.034506745;c
1.35;1.033831175;c
1.4;1.033130313;c
1.45;1.032403726;c
1.5;1.031650932;c
1.55;1.030871391;c
1.6;1.030064493;c
1.65;1.029229546;c
1.7;1.028365756;c
1.75;1.027472207;c
1.8;1.026547824;c
1.85;1.025591331;c
1.9;1.024601185;c
1.95;1.023575476;c
2;1.022511777;c
2.05;1.021406885;c
2.1;1.020256372;c
2.15;1.019053687;c
2.2;1.017788125;c
2.25;1.016439098;c
2.3;1.014951412;c
