x;y;label
0.5;1.042106287;b
0.55;1.041800772;b
0.6;1.041473252;b
0.65;1.041123644;b
0.7;1.040751855;b
0.75;1.040357778;b
0.8;1.039941294;b
0.85;1.039502271;b
0.9;1.039040562;b
0.95;1.038556003;b
1;1.079006303;b
1.05;1.037517603;b
1.1;1.036963347;b
1.15;1.036385409;b
1.2;1.035783527;b
1.25;1.035157412;b
1.3;1.034506745;b
1.35;1.033831175;b
1.4;1.033130313;b
1.45;1.032403726;b
1.5;1.031650932;b
1.55;1.055041519;b
1.6;1.030064493;b
1.65;1.029229546;b
1.7;1.028365756;b
1.75;1.027472207;b
1.8;1.026547824;b
1.85;1.025591331;b
1.9;1.024601185;b
1.95;1.023575476;b
2;1.022511777;b
2.05;1.021406885;b
2.1;1.020256372;b
2.15;1.019053687;b
2.2;1.017788125;b
2.25;1.016439098;b
2.3;1.014951414;b
