x;y;label
1;1.00324243;c
1.05;1.003401386;c
1.1;1.003560044;c
1.15;1.003718404;c
1.2;1.003876467;c
1.25;1.004034232;c
1.3;1.0041917;c
1.35;1.004348872;c
1.4;1.004505748;c
1.45;1.004662328;c
1.5;1.004818612;c
1.55;1.004974602;c
1.6;1.005130297;c
1.65;1.005285698;c
1.7;1.005440805;c
1.75;1.005595618;c
1.8;1.005750139;c
1.85;1.005904366;c
1.9;1.006058301;c
1.95;1.006211944;c
2;1.006365296;c
2.05;1.006518356;c
2.1;1.006671125;c
2.15;1.006823604;c
2.2;1.006975792;c
2.25;1.007127691;c
2.3;1.0072793;c
